번호,하위분류,제목,문의내용,답변부서,답변내용
167,"댐, 하천, 항만 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",「시설물의 안전 및 유지관리 실시 세부지침(안전점검·진단 편)???수문편(2024)」 기본과업 재료시험 기준수량에 관해 문의드립니다.,"안녕하세요.정밀안전점검 용역 수행 중 수문 시설물의 기본과업 재료시험 기준수량에 관해 문의드립니다.국토안전관리원에서 배포한 「시설물의 안전 및 유지관리 실시 세부지침(안전점검·진단 편)???수문편(2024)」을 보면,8?2페이지에는 수문 시설물의 안전점검 대상 범위가 “수문 본체, 문비, 공중이 이용하는 부위”로 명시되어 있고,8?10페이지에는 기본과업 재료시험 수량이 “암거 길이 40m당 1회”로 규정되어 있습니다.이때 “암거 길이 40m당 1회” 시험은과업지시서 또는 설계서 등에서 암거가 점검 대상 범위에 포함된 경우에만 적용되는 것이고과업지시서나 설계서에 점검대상 범위에 암거가 명시되지 않은 경우에는 해당 기준수량을 생략해도 무방한지확인 부탁드립니다.",시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “수문 재료시험”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 「시설물의 안전 및 유지관리 실시 세부지침(안전점검·진단 편)_수문편」 [표 8.1] ‘수문 시설물의 안전점검 및 정밀안전진단 대상시설 범위’를 참고하면, 정밀안전점검 시 주요부재(수문 본체, 문비)에 대해서 기본과업으로 제시하고 있으며, 보조부재에 대해서는 선택과업으로 제시하고 있습니다. 나. 따라서 선택과업 대가 반영 및 과업지시서 상 대상시설 범위에 보조부재인 암거가 포함되어야 [표 8.8]의 ‘암거 길이 40m 당 1회’에 대한 기본과업 재료시험 의무가 발생할 것으로 사료됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 심규현 ☏ 055-771-8363)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다."
710,"(시설물 안전) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",책임기술자 교육이수관련 문의,"1. 저는 제1종시설물 관리주체로서, 과거 정밀안전진단 신규교육을 수료하였고, 새로운 건축물에 대해 정기안전점검을 실시하고자 정기안전점검 보수교육을 받았습니다. (사전에 FMS에 문의함)2. 정기안전점검 보수교육을 등록하려고 하니 정기안전점검 신규교육 실적이 등록이 되어야 된다고 뜹니다.   정밀안전진단교육으로 정기안전점검교육을 갈음할 수 있으므로 정기안전점검 보수교육만 들으면 되는것 아닌가요?   관련법령을 같이 알려주시면 감사하겠습니다~3. 만약에 1번내용이 안된다면, 1종시설물 정기안전점검을 수행하기 위해서   정밀안전진단 보수교육과 정기안전점검 신규교육 둘 중 어느것을 받아도 무방한가요?",시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전점검등 책임기술자의 교육 요건”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. ?시설물안전법 시행령? 별표 5 책임기술자의 자격 중 교육요건에서는 건축물 정기안전점검의 경우 “건축분야의 정기안전점검 교육”을 이수하여야 하며, “건축분야의 정밀안전진단 교육”을 이수한 경우 “건축분야의 정기안전점검 교육”을 이수한 것으로 보고 있습니다.   나. 다만, ?시설물안전법 시행규칙? 제10조 등에 따라 규정된 보수교육은 각 점검 수준별로 구분된 신규교육에 대한 보수교육으로 정밀안전진단의 신규교육을 받으신 경우 정밀안전진단의 보수교육, 정기안전점검의 신규교육을 받으신 경우 정기안전점검의 보수교육을 이수하시는 것이 적절할 것으로 사료되며,   다. 질의주신 바와 같이 건축물의 정기안전점검을 실시하고자 하시는 경우 정밀안전진단의 보수교육이나, 정기안전점검의 신규교육을 이수하시어 책임기술자로서의 자격요건 중 교육요건을 충족시켜야 할 것으로 사료됩니다.   라. 다만, 국토안전관리원은 시설물안전법에 대한 유권해석의 권한이 없음을 양해하여 주시기 바라며, 법률적 활용이 필요한 경우 국토교통부 시설안전과에 문의하시어 유권해석을 받아 활용하실 것을 권고드립니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 강호정 ☏ 055-771-8483)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.감사합니다."
647,"(국가주요시설물) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",초기점검 시행기관 적정석 검토 관련입니다.,2016년부터 포항영덕간 고속도로 건설중에 있습니다.현재 초기업체로 선정하려는 업체가 2021년도에 23개 구조물 중 2개 구조물에 대해 변경설계에 참여했던 이력이있습니다.(원설계 해당없음)건설공사 안전관리 업무수행 별표 2 건설안전점검기관 확인사항 중o 영 제100조제3항의 제외기관 해당여부  - 건설사업자 또는 주택건설등록업자가 안전점검 실시를 건설안전점검기관에 의뢰하고자 하는 때에는 해당 건설공사를 발주ㆍ설계ㆍ시공 또는 건설사업관리용역사업자와 동일계열회사(「독점규제 및 공정거래에 관한 법률」제2조제3호에 따른 계열회사를 말한다)인 건설안전점검기관에 의뢰해서는 아니됨.위 해당내용에 법령 해석이 궁금합니다.1. 변경설계에 참여했던 기관이 초기점검 기관으로 선정 가능 여부2. 불가 시 불가 사유,기획조정실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “초기점검 시행기관”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 「건설기술진흥법」 시행령 제100조 제3항에 건설안전점검기관에 정기안전점검 또는 정밀안전점검 등의 실시를 의뢰함에 있어 건설공사를 발주·설계·시공·감리 또는 건설사업관리를 수행하는 자의 계열회사인 건설안전점검기관에 의뢰해서는 안된다고 규정하고 있습니다.   나. 이는 점검결과의 객관성을 확보하고 안전관리를 강화하기 위해 발주·설계·시공·감리 또는 계열사와 점검을 분리하여 제3자에게 실시하도록 한 위 조항의 규정취지를 고려할 때, 변경설계를 수행한 자에 대해서도 위 조항이 적용될 것으로 사료됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 기획조정실(업무담당 정대헌 ☏ 055-771-4860)으로 문의하여 주시면 친절히 답변 드리겠습니다."
485,안전관리계획서 작성 관련 문의,제2종시설물(문화 및 집회시설)에 제2종근린생활시설 증축공사 시 안전관리계획 수립대상 여부 등 문의,"? 질의내용문의대상은 기존 건축물의 연면적 15,311㎡(지하2층~지상4층)로서 1층에 제1종근린생활시설(휴게음식점) 258㎡와 지하2층~지상4층에 문화 및 집회시설 15,053㎡로 구성되어 있고 연면적 5천제곱미터 이상의 문화 및 집회시설로서 시특법상 제2종시설물로 운영중에 있으며 건축물대장에 두 용도가 명확히 구분되어 있습니다.금회 장애인 승강기(건축법 시행령 제119조에 따라 바닥면적, 층수, 높이에서 산입되지 않음)를 건축물에 붙여 설치하고 4층에 제2종근린생활시설(음식점) 260㎡ 규모로 증축공사를 계획하고 있습니다.시설물의 안전 및 유지관리에 관한 특별법 시행령 별표1의 나. 공동주택외의 건축물에서 문화 및 집회시설의 연면적 5천제곱미터 이상(연면적: 각 용도별 시설의 합계)인 경우 제2종시설물로 분류하고 있으며, 추가로 증축하는 연면적이 제2종근린생활시설(음식점) 260㎡로서 증축후 건물 전체 연면적은 15,570㎡이나 현재 제2종시설물인 문화 및 집회시설의 연면적(15,053㎡)에는 변동이 없습니다.기존 건축물에서 시행할 제2종근린생활시설의 증축공사가 건설기술 진흥법 시행령 제98조제1항제1호 및 제75조의2제1항에 따라 시특법 제2종시설물의 건설공사로서 안전관리계획 수립 대상여부, 국토안전관리원의 안전관리계획 및 설계 안전성 검토 대상인지와 건설기술 진흥법 시행령 제101조의5 제1항에 따라 소규모 건설공사의 안전관리계획 대상에서도 제외되는 것인지 문의드립니다.",건설안전관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리계획서 작성대상 여부”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 질의하여주신 제2종근린생활시설이란 건축법에 의한 구분이며 시설물의 안전 및 유지관리에 관한 특별법의 구분으로 보았을때 하나의 건축물로 휴게음식점 또한 문화 및 집회시설에 포함되어 음식점 증축시 제2종 시설물으로, 건설기술 진흥법 시행령 제98조제1항제1호 1·2종 시설물의 건설공사에 포함됨으로 안전관리계획서를 제출 하여야 한다 판단됩니다.   나. 또한 질의하여 주신 현장이 발주청 발주공사(공공 공사)일 경우 설계 안전성 검토를 수행하여야 함을 안내드립니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다. "
699,시설물통합정보관리시스템(FMS) e-보고서 및 설계도서,용역 계약기간 이후 점검도래일 시설물에 대한 과업종료일 설정 관련 질의,"[배경] 1. 본사는 관리주체 한국도로공사 서울경기본부의 안전점검 용역을 수행 중에 있음.2. 용역 특성상 다수의 시설물(48개소 이상)이 한 용역에 모두 포함되어 있음.3. 이때 시설물 별 각 점검기한 즉, 점검도래일은 각 상이함.4. 계약상 과업 종료일은 24년 12월 15이며, 준공계 처리가 모두 진행되었음.5. FMS등록 시 점검도래일이 과업종료일(24.12.15)  이전인 경우는 점검도래일에 맞추고 이후인 경우에는 과업종료일에 맞춤.  [민원사항 & 질문]1. [배경] 5번과 관련하여 점검도래일이 과업종료일 이후인 경우, 별도의 변경계약 없이 준공처리 이후에 FMS당초 본 시설물별 점검도래일에 맞추어 보고서 내 과업기간 등 보고서작성과 FMS 등록을 실시하여도 FMS 반려 등 불이익 사항이 없는지 질의합니다.2. “과업종료일 이후 점검도래일 시설물들을 과업종료일이 아닌 점검도래일에 맞추어 보고서 작성 및 FMS 등록” 하는 것이 관리주체의 방침이라 한다면, 용역사에서 처리방안이 있는지 질의합니다.3. 아울러 변경계약이 불가한 현 상태에서 관리주체의 방침대로 진행이 가능한지 질의합니다.",시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “계약기간 이후 과업 종료 시 실적보고”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 실적보고 시 과업기간은 실제 점검·진단이 이루어진 기간을 뜻합니다. 따라서 계약기간을 넘어 과업기간을 보고하시게 되면 반려사유에 해당합니다.ex) 계약기간: '24. 1.1. ~ '24. 12. 15., 과업기간: '24. 1. 1. ~ '25. 1. 1. → 반려   나. 과업기간은 계약기간 내에 포함되어야 하므로, 과업기간의 연장이 필요할 시 변경계약서나 변경관련 서류?*를 첨부하여 실적보고해 주시기 바랍니다.* 관리주체와의 협의하에 계약기간을 변경하는 내용이 포함된 서류4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 김창우 ☏ 055-771-8359)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다."
505,안전점검 결과보고서/종합보고서 제출 및 적정성 검토 관련 문의,가설구조물(가설계단) 정기안전점검 시행 여부,첨부한 사진과 같이 수직구에 설치된 가설 계단에 대하여 건설기술진흥법에 따라 정기안전점검을 실시해야하는 것인지또는 실시해야 한다면 어떤 법을 근거로 진행해야하는지 정확하게 설명 부탁드려줄 수 있을 까요?,건설품질관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “수직구에 설치된 가설계단의 안전점검”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 「건설기술 진흥법」시행령제98조제1항제5의2호 '제101조의2제1항 각 호의 가설구조물을 사용하는 건설공사'와 동법 시행령 제101조의2 제1항제5호 '그 밖에 발주자 또는 인·허가기관의 장이 필요하다고 인정하는 가설구조물'에 해당된다고 판단할 경우 안전관리계획 수립대상에 해당합니다. 나. 안전관리계획 수립대상 건설공사는 「건설공사 안전관리 업무수행 지침」[별표 1]에 따라 그 실시시기를 정하고 있으며, [별표 1]에서 정의하고 있는 건설공사 종류 이외의 안전관리계획 수립대상 건설공사의 정기안전점검은 시공자가 정기안전점검 차수별 점검시기를 정하여 건설사업관리기술자의 확인·검토를 득한 후 발주자의 승인을 받아 시행하도록 명시하고 있습니다.(이때 점검차수는 최소 2회 이상 실시)4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설품질관리실(업무담당 김재홍 ☏ 055-771-1629)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다. "
244,안전관리계획서 작성 관련 문의,안전관리조직도 문의,"안녕하세요 현재 안전점검 수행기관에서 근무하고 있습니다.안전관리조직도 관련하여 문의드리려고 합니다.건설기술진흥법 제64조(건설공사의 안전관리조직)에 따르면 건진법 안전관리조직은 안전총괄책임자, 분야별안전관리책임자, 안전관리담당자 등으로 구성되어 있는데요시공사에서 작성한 안전관리계획서 내 안전관리조직도에 산안법 안전관리자와 보건관리자가 포함되어 있습니다.건진법 안전관리조직도에 안전관리자와 보건관리자가 포함되어 있을 경우 문제가 없는지 의견 부탁드립니다.",건설안전관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리조직도의 산업안전보건법 직무자 포함가능 여부”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 건설기술진흥법 제64조제1항에 따라 안전관리계획을 수립하는 건설사업자 및 주택건설등록업자는 다음 각 호의 사람으로 구성된 안전관리조직을 두어야 합니다.   나. 따라서 건설기술 진흥법 및 산업안전보건법에 따라 안전관리 조직표(조직도)를 별도로 작성하여야 합니다. 4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을안내 드립니다.감사합니다."
567,"상수도, 하수도 등의 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",상수도 시설물 정기안전점검 범위,"안녕하세요?상수도 시설물 문의드립니다.1) 정밀안전점검 시는 차도 상에 위치한 밸브실에 대하여 조사를 실시하고, 정밀안전진단 시는 전체 밸브실에서 조사를 실시하는 것으로 확인하였습니다. 정밀안전점검 시 차도 상에 위치한 밸브실에 대해서만 조사를 실시하는 이유가 있을까요?2) 정기안전점검 시 조사 대상 밸브실에 대한 범위는 명기되지 않은 것 같아서 문의드립니다. 정기안전점검 시 조사가 실시되어야 할 밸브실의 범위는 어떻게 되나요?(차도상에 위치한 밸브실만 해야하는지? 안해도 되는지?)답변부탁드립니다. ~~",시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “상수도 정기안전점검 범위”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 「시설물의 안전 및 유지관리 실시 등에 관한 지침」 [별표 9]의 내용을 참고하면, ‘정밀안전점검’의 현장조사 및 시험에서의 기본과업은 “기본시설물 또는 주요부재의 외관조사 및 외관조사망도 작성” 등으로 제시하고 있으며, ‘정밀안전진단’의 현장조사 및 시험에서의 기본과업은 “전체부재의 외관조사 및 외관조사망도 작성” 등으로 기술하고 있습니다. 나. 따라서, 정밀안전점검 시 밸브실 조사는 상부에 차량이 통행하여, 차량하중에 의해 취약할 수 있는 위치를 조사할 수 있도록 제시하고 있으며, 책임기술자 판단하에 추가 조사가 필요하다고 판단되는 밸브실이 있을 경우 점검을 실시하여도 무방할 것으로 사료됩니다.   다. 또한, 질의하신 바와 같이 정기안전점검 시 밸브실 조사 범위에 대한 상세 사항은 제시하고 있지 않으므로, 기 자료를 검토하여 책임기술자 판단에 따라 취약부 선정 후 조사하여야 할 것으로 사료됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 심규현 ☏ 055-771-8363)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다. "
563,"댐, 하천, 항만 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",배수통문 정밀안전점검 시 주변 옹벽 및 교량의 조사범위에 대한 질의,"하천시설물인 통문의 정밀안전점검과 관련한 질의입니다. 해당 통문은 문비와 암거만으로 구성된 시설물로써유출부 암거에 좌측에는 보강토옹벽, 우측에는 교량의 교대가 바로 붙어있습니다. 질의 내용은 다음과 같습니다. ① 해당 교대와 보강토옹벽을 날개벽인 것처럼 조사를 해야하나요? 한다면 어느정도 범위를 해야하나요? ② 날개벽이 아니라 보강토옹벽과 교대인 것으로 조사를 해야한다면 어느 수준으로 조사를 해야하나요?③ 조사된 교대와 옹벽을 상태평가에 반영하여야 하는지요? 반영한다면 어떤 방법으로 평가하여야 하는지요?",시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “배수통문 조사범위”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 질의하신 옹벽과 교량이 종외 시설물일 경우, 선택과업으로 수행 및 평가할 수 있을 것으로 사료되며, 관리주체와 안전진단전문기관의 협의하에 진행하여야 할 것으로 판단됩니다. 나. 다만 질의하신 옹벽과 교량이 종 시설물일 경우, 별도의 ‘안전점검 등’을 수행 및 평가하여야 할 것으로 사료됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 심규현 ☏ 055-771-8363)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다. 감사합니다."
190,"교량 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",철도교량 제2종 성능평가 시 승차감 평가 질의,철도교의 경우 사용성능평가 부분에 승차감 항목이 포함되어있는데요.재하시험을 별도 진행하지 않더라도 평가를 위해 상시 열차를 통해 처짐 데이터를 획득해야하는지 궁금합니다.만일 그렇지 않다면 어떤 방법으로 평가를 진행해야하는건가요?,시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 ""사용성능평가 승차감”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.  사용성능평가시 승차감 부분은 재하시험과는 무관하며 상시 계측을 통해 측정합니다. 또한, 해당 과업은 기본과업에 포함되어 있음을 안내드립니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가설명이 필요한 경우에는 우리 국토안전관리원 시설성능관리실(업무담당 박준석 ☏ 055-771-8495)으로 문의하여 주시면 친절히 답변 드리겠습니다.6. 끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내드립니다.감사합니다."
476,"(시설물 안전) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의","1층건물 표본층 , 재료시험 갯수 문의","건축물의 규모에 따라 [표 6.19～20]과 같이 표본 층(단위)을 선정하고, 각 층(단위)마다 주요 구조부의 기둥 또는 내력벽, 보, 슬래브 중 2종 부재를 선택하여 각 부재별 2개소(단부와 중앙부) 이상으로 정한다.   ? 총 수량 : 표본 층(단위)수 × 2종 부재(기둥 또는 내력벽, 보, 슬래브 중) × 각 부재별 2개소(단부, 중앙부)----------토목구조물 안전진단때 건축구조물이 일부 속해있는데, 그 건물이 1층 건물입니다.표본층은 최소  2개단위로 잡아야하는 건지,,,궁금합니다!연면적도 2000미만입니다.1개층X2종부재X2개소로 진행하여도 될지 궁금합니다.",시설성능관리실,"1. 안녕하십니까? 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “건축물 재료시험의 수량 산정 등”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. ?시설물의 안전 및 유지관리 실시 세부지침(안전점검?진단편)?(이하 “세부지침”) 건축물편의 6.3.3절에 따라 재료시험은 층수별 또는 연면적별로 표본 층 또는 단위를 선정하여 수량을 산정하여 실시하도록 규정하고 있으며, 나. 각 재료시험의 기준 수량은 책임기술자의 판단에 의해 수량의 조정이 가능하고, 조정 시에는 그 사유를 명기하여야 함에 따라 질의주신 단층의 경우 연면적별 표본 단위를 구분하시는 것이 적절할 것으로 사료되며, 현장의 여건에 따른 책임기술자의 판단에 의해 각 재료시험의 수량을 조정하실 수 있음을 안내드립니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 강호정 ☏ 055-771-8483)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.감사합니다."
